time,out1_obs,out2_obs,out3_obs
0.01,0.007693409878230936,-0.03585020629890239,0.029077439223684342
0.02,0.015207261936187932,-0.06901221606285038,0.05630709685102066
0.03,0.02254355504767904,-0.0997419327801171,0.08186112396515795
0.04,0.029703841931515436,-0.12826851213882928,0.10592077448130398
0.05,0.036678141418160705,-0.1547353131196687,0.1286926645714659
0.060000000000000005,0.04347802725522949,-0.1793966784681511,0.15026762361179424
0.07,0.050103268970646445,-0.20241847739065033,0.17077168926855424
0.08,0.05654188388056149,-0.2239106607543019,0.1903486366212458
0.09,0.06280348229821137,-0.24405024355655114,0.20906287898349452
0.09999999999999999,0.06888566685982782,-0.26295715854726365,0.22700311954668606
0.10999999999999999,0.07476080559766977,-0.28069796913563894,0.2442886388200777
0.11999999999999998,0.08044871161158426,-0.2974141844557729,0.26094692096305383
0.12999999999999998,0.085943648470613,-0.3131918443326541,0.2770419920816912
0.13999999999999999,0.09123827963244052,-0.32810787063015034,0.29263161594670156
0.15,0.09629606909514853,-0.34219384758840954,0.3078587615536405
0.16,0.10113078801757795,-0.355550955134091,0.3226738969883357
0.17,0.1057259290352875,-0.3682328504401573,0.33712126254737856
0.18000000000000002,0.11021726578909122,-0.3802971900292363,0.3513507776658655
0.19000000000000003,0.11443154787102142,-0.3917739840497221,0.365283318500477
0.20000000000000004,0.11832921801336779,-0.4026988621668889,0.3789543659894089
0.21000000000000005,0.12232428623058687,-0.41316243068704817,0.3926047516016939
0.22000000000000006,0.12595164943513576,-0.42312584792530533,0.40604363858265663
0.23000000000000007,0.1291005070369631,-0.4326092101800897,0.41930082745304575
0.24000000000000007,0.1330274928358671,-0.4417982945998907,0.4326744498561033
0.25000000000000006,0.1365516934483965,-0.4505262167859658,0.4459023015840057
0.26000000000000006,0.1395218743647037,-0.45879694228843876,0.4590099788263144
0.2700000000000001,0.14124252716286442,-0.4666062748736038,0.47202148700768687
0.2800000000000001,0.14466117992292207,-0.47416088169203724,0.48509418731702353
0.2900000000000001,0.14743589596490164,-0.481222947711675,0.49810499389497703
0.3000000000000001,0.14564682484216243,-0.4877490888578438,0.5110740741806397
0.3100000000000001,0.14929589761859938,-0.4941322304004898,0.5241018606772099
0.3200000000000001,0.1524042315038129,-0.4998642329207536,0.5371185582328458
0.3300000000000001,0.1544420394232026,-0.5047312641441436,0.5501407703696585
0.34000000000000014,0.15178489655948635,-0.5078483751291063,0.5631839063141393
0.35000000000000014,0.1558145239986445,-0.5120185617737287,0.5762556430088159
0.36000000000000015,0.15941454280305448,-0.5085579246846129,0.5893762322193747
0.37000000000000016,0.1624088025140075,-0.5037339904656594,0.6025578116952128
0.38000000000000017,0.1665963508367508,-0.4993815864354625,0.6157685526982352
0.3900000000000002,0.1703743113231854,-0.4941629788553264,0.6290648120439721
0.4000000000000002,0.17360174824154004,-0.4884006984727921,0.6424558308930076
0.4100000000000002,0.17813290216714053,-0.4833007501858549,0.6559014500613428
0.4200000000000002,0.18230460031613352,-0.47762212277939287,0.6694615200585384
0.4300000000000002,0.18603413145619532,-0.47152200801301175,0.6831429075326514
0.4400000000000002,0.1891413749098145,-0.4650885284426659,0.6969518813863039
0.45000000000000023,0.1940530898764216,-0.459678119673864,0.7108552696440826
0.46000000000000024,0.19863981641351072,-0.4537831574140047,0.7248999207083503
0.47000000000000025,0.20284833702993557,-0.4475177455009049,0.7390904088220377
0.48000000000000026,0.2078939424715698,-0.4419800705673723,0.7534194273659955
0.49000000000000027,0.21261527439422434,-0.4359937045108812,0.7679030178800882
0.5000000000000002,0.21696218629091482,-0.4296580968480932,0.7825445560762915
0.5100000000000002,0.222249457938307,-0.4243540648362079,0.7973523344386745
0.5200000000000002,0.22722332359708455,-0.4185436645750867,0.812323514019462
0.5300000000000002,0.2318425810711434,-0.4123513030651299,0.8274606000913174
0.5400000000000003,0.23753628693128473,-0.4081560541241566,0.8427763570019597
0.5500000000000003,0.24293631017181574,-0.4030419751219542,0.858261563974028
0.5600000000000003,0.24801417366583606,-0.3973693442534145,0.8739180481410211
0.5700000000000003,0.2527273219192085,-0.3912872594439153,0.8897474238317992
0.5800000000000003,0.2582595927051763,-0.3863854692614749,0.9057246787987773
0.5900000000000003,0.263468287558041,-0.3808599290562594,0.9218792339911176
0.6000000000000003,0.26831268522504637,-0.37489307298973595,0.9382120351006931
0.6100000000000003,0.27402592587902785,-0.370699687052421,0.954702294276817
0.6200000000000003,0.2794178088712842,-0.3655955407422379,0.9713736473643773
0.6300000000000003,0.2844515231736045,-0.3599367150831068,0.9882264982414339
0.6400000000000003,0.2890691322292688,-0.3538712013154733,1.0052611171710273
0.6500000000000004,0.2948849646830024,-0.35125008800678015,1.0224488939504415
0.6600000000000004,0.3003709770405051,-0.34667944950085205,1.039820498738212
0.6700000000000004,0.3054892916837927,-0.34136913202754654,1.0573757300360804
0.6800000000000004,0.31123422095947245,-0.339443780057019,1.0750943994297448
0.6900000000000004,0.31662929211160434,-0.3349519497684883,1.0929972871326485
0.7000000000000004,0.32162802475770913,-0.329688455862948,1.1110838155296356
0.7100000000000004,0.327379721628547,-0.33329259487782403,1.129342954038798
0.7200000000000004,0.332768179088329,-0.32932434954004763,1.1477849932559323
0.7300000000000004,0.3377417331587883,-0.3243337078603602,1.16640905984387
0.7400000000000004,0.34221183247174713,-0.31875487182982293,1.1852142026622827
0.7500000000000004,0.3478775710520731,-0.32291569365011713,1.2041917753871638
0.7600000000000005,0.3531517218352256,-0.3195390101177189,1.2233488009657163
0.7700000000000005,0.35893180645421113,-0.32444240263938057,1.242682097568843
0.7800000000000005,0.3643237032228868,-0.3277379151973654,1.2621925242297891
0.7900000000000005,0.369265600614325,-0.3235805570542255,1.281878752148589
0.8000000000000005,0.37364558362640365,-0.31848830957934915,1.3017393929362284
0.8100000000000005,0.3789415026187033,-0.3223587833990368,1.3217794684199733
0.8200000000000005,0.38375133964675207,-0.3185808883086966,1.3419905844870226
0.8300000000000005,0.38792881596231693,-0.31366145796019684,1.3623712113692004
0.8400000000000005,0.3910382819631199,-0.3081208150694207,1.3829197681302963
0.8500000000000005,0.39611620768225364,-0.31217624330126753,1.4036411783840899
0.8600000000000005,0.4006301340270606,-0.3086059012793935,1.4245267786113744
0.8700000000000006,0.40579826543728537,-0.3133358041426247,1.4455799139836554
0.8800000000000006,0.4104133561416638,-0.31588846719640196,1.4667934669765679
0.8900000000000006,0.4142457457567896,-0.3114977791573044,1.4881656740842861
