time,x,y,z,vx,vy,vz,phi,theta,psi,p,q,r,dot_phi,dot_theta,dot_psi
0.01,-0.05515784025192261,-0.03169878572225571,0.9316502213478088,-0.013016285770492374,-0.011403046940839186,0.04014901761669701,-0.018457295848781384,0.022272751587535528,-0.00023329724244243382,-0.0053721023723483086,-0.0008706339867785575,-0.0014329454861581326,-0.005403659900700393,-0.00089693248787863,-0.0014169842253950594
0.02,-0.054959118366241455,-0.03234569728374481,0.9334138035774231,-0.013701379456815967,-0.010333662156210652,0.039070165276867685,-0.018457295848781384,0.022272751587535528,-0.00023329724244243382,0.002922763116657734,-0.001628354541026056,-0.0009241304942406712,0.002902849770707889,-0.0016451331631697082,-0.000894141542739087
0.03,-0.054959118366241455,-0.03234569728374481,0.9334138035774231,-0.013701379456815967,-0.010333662156210652,0.039070165276867685,-0.018451822744308007,0.02224871591338679,-0.0002550174449978687,0.002922763116657734,-0.001628354541026056,-0.0009241304942406712,0.0029028710669630193,-0.0016451282706287703,-0.0008941500704494373
0.04,-0.054959118366241455,-0.03234569728374481,0.9334138035774231,-0.013701379456815967,-0.010333662156210652,0.039070165276867685,-0.018451822744308007,0.02224871591338679,-0.0002550174449978687,0.002922763116657734,-0.001628354541026056,-0.0009241304942406712,0.0029028710669630193,-0.0016451282706287703,-0.0008941500704494373
0.05,-0.054959118366241455,-0.03234569728374481,0.9334138035774231,-0.013701379456815967,-0.010333662156210652,0.039070165276867685,-0.018451822744308007,0.02224871591338679,-0.0002550174449978687,0.002922763116657734,-0.001628354541026056,-0.0009241304942406712,0.0029028710669630193,-0.0016451282706287703,-0.0008941500704494373
0.060000000000000005,-0.05479860305786133,-0.03291552513837814,0.9350132346153259,-0.01476894471918081,-0.009743674886780653,0.038127925214072496,-0.018299018586501934,0.02230623537585317,-0.00011862256353933522,0.0025732736103236675,0.0023171543143689637,0.003501269500702619,0.00265042770470964,0.0023808325909624958,0.003459144570734273
0.07,-0.05479860305786133,-0.03291552513837814,0.9350132346153259,-0.01476894471918081,-0.009743674886780653,0.038127925214072496,-0.018299018586501934,0.02230623537585317,-0.00011862256353933522,0.0025732736103236675,0.0023171543143689637,0.003501269500702619,0.00265042770470964,0.0023808325909624958,0.003459144570734273
0.08,-0.05479860305786133,-0.03291552513837814,0.9350132346153259,-0.01476894471918081,-0.009743674886780653,0.038127925214072496,-0.018299018586501934,0.02230623537585317,-0.00011862256353933522,0.0025732736103236675,0.0023171543143689637,0.003501269500702619,0.00265042770470964,0.0023808325909624958,0.003459144570734273
0.09,-0.05479860305786133,-0.03291552513837814,0.9350132346153259,-0.01476894471918081,-0.009743674886780653,0.038127925214072496,-0.018299018586501934,0.02230623537585317,-0.00011862256353933522,0.0025732736103236675,0.0023171543143689637,0.003501269500702619,0.00265042770470964,0.0023808325909624958,0.003459144570734273
0.09999999999999999,-0.05475431680679321,-0.03365275263786316,0.9373131990432739,-0.01635573710980368,-0.008765395487916805,0.045950245705532224,-0.017393743411745356,0.021432931680909983,-9.890610562434117e-05,0.0430254191160202,-0.06072351709008217,-0.0008288849494419917,0.04303029363506486,-0.06072874829026671,0.00022744869152733222
0.10999999999999999,-0.05475431680679321,-0.03365275263786316,0.9373131990432739,-0.01635573710980368,-0.008765395487916805,0.045950245705532224,-0.017393743411745356,0.021432931680909983,-9.890610562434117e-05,0.0430254191160202,-0.06072351709008217,-0.0008288849494419917,0.04303029363506486,-0.06072874829026671,0.00022744869152733222
0.11999999999999998,-0.053193867206573486,-0.033752672374248505,0.9397761821746826,-0.01771925198730447,-0.008545328054883781,0.05405226052217398,-0.016310932236334823,0.01940816998233882,-2.8889933880674114e-05,0.05790620297193527,-0.11977707594633102,-0.0007074713357724103,0.05793039270192209,-0.11977268216838141,0.0012464466611213766
0.12999999999999998,-0.053193867206573486,-0.033752672374248505,0.9397761821746826,-0.01771925198730447,-0.008545328054883781,0.05405226052217398,-0.016310932236334823,0.01940816998233882,-2.8889933880674114e-05,0.05790620297193527,-0.11977707594633102,-0.0007074713357724103,0.05793039270192209,-0.11977268216838141,0.0012464466611213766
0.13999999999999999,-0.053193867206573486,-0.033752672374248505,0.9397761821746826,-0.01771925198730447,-0.008545328054883781,0.05405226052217398,-0.016310932236334823,0.01940816998233882,-2.8889933880674114e-05,0.05790620297193527,-0.11977707594633102,-0.0007074713357724103,0.05793039270192209,-0.11977268216838141,0.0012464466611213766
0.15,-0.053193867206573486,-0.033752672374248505,0.9397761821746826,-0.01771925198730447,-0.008545328054883781,0.05405226052217398,-0.016310932236334823,0.01940816998233882,-2.8889933880674114e-05,0.05790620297193527,-0.11977707594633102,-0.0007074713357724103,0.05793039270192209,-0.11977268216838141,0.0012464466611213766
0.16,-0.0518149733543396,-0.03383798152208328,0.9421530961990356,-0.019401637554871017,-0.007859719089035079,0.05959122886688944,-0.014273613399907303,0.013541106681512743,9.589274414343182e-05,0.039691466838121414,-0.1461499184370041,0.0026037520729005515,0.039754971785962566,-0.14609786699847654,0.004689933408263674
0.17,-0.0518149733543396,-0.03383798152208328,0.9421530961990356,-0.019401637554871017,-0.007859719089035079,0.05959122886688944,-0.014273613399907303,0.013541106681512743,9.589274414343182e-05,0.039691466838121414,-0.1461499184370041,0.0026037520729005515,0.039754971785962566,-0.14609786699847654,0.004689933408263674
