8.292126604892560149e-01,2.508697243680920175e-01
8.398554639751056872e-01,2.521759292266776975e-01
8.511402266536430838e-01,2.534931348268706364e-01
8.630717349251166848e-01,2.548283119846438405e-01
8.755989716974149628e-01,2.562306144489943649e-01
8.886800174737058411e-01,2.577143638060126474e-01
9.022708271376389533e-01,2.593086701758077761e-01
9.163079834970575543e-01,2.611399822446895391e-01
9.306974002228497467e-01,2.631440923101943663e-01
9.453327112543391531e-01,2.652562963541419960e-01
9.601663195230719650e-01,2.675002035118995702e-01
9.752156858844216458e-01,2.700727792414085449e-01
9.904224037144599979e-01,2.729437970958293880e-01
1.005755439273721352e+00,2.761716872830208280e-01
1.021175102911660248e+00,2.797641801208341494e-01
1.036629627606327375e+00,2.838434712718171937e-01
1.052153461994850270e+00,2.884501016828303066e-01
1.067806351628047157e+00,2.935211785360433145e-01
1.083604448001289189e+00,2.990357497952318422e-01
1.099536677825617259e+00,3.049504831999440002e-01
1.115504784672918692e+00,3.113260085231295826e-01
1.131465733887366598e+00,3.181375770928808189e-01
1.147369885719059068e+00,3.253784056837871197e-01
1.163110938746275691e+00,3.330855856394873138e-01
1.178616390070205133e+00,3.412667664813666124e-01
1.193807018130936815e+00,3.499055222907428986e-01
1.208615576943983472e+00,3.590119825020977595e-01
1.222963543297955757e+00,3.685641473003148372e-01
1.236821020705629826e+00,3.784656542577341520e-01
1.250080367538011217e+00,3.888466193033564000e-01
1.262677874593942207e+00,3.997230526408391826e-01
1.274587966901010061e+00,4.110694636351043818e-01
1.285636521579021530e+00,4.229022883822128320e-01
1.295683812731655005e+00,4.352473588069333821e-01
1.304627845868874481e+00,4.480390864913282312e-01
1.312405263329239569e+00,4.611921793030512862e-01
1.319022958969739312e+00,4.748315840199496818e-01
1.324553302369682051e+00,4.888880985408031732e-01
1.329308926347919861e+00,5.032804165502361426e-01
1.333578723896287510e+00,5.179605945769689690e-01
1.337387753420033354e+00,5.328647576142956366e-01
1.340649718431534243e+00,5.480678763283463040e-01
1.343319544866070636e+00,5.635842505261542401e-01
1.345454672249358552e+00,5.794486175726435429e-01
1.347073877685905474e+00,5.955005056198400260e-01
1.348133886718652530e+00,6.119971333800409141e-01
1.348875620717231216e+00,6.289319496030000289e-01
1.349179502258142538e+00,6.462268794224621526e-01
1.349058730221077251e+00,6.638842266672803083e-01
1.348546341682428151e+00,6.818879140907838643e-01
1.347730818692001176e+00,7.002501579866557968e-01
1.346628266847198274e+00,7.189296073859819947e-01
1.345220202500050144e+00,7.379096388152447394e-01
1.343533401029227248e+00,7.571126628769573319e-01
1.341669029875818708e+00,7.764709492147215952e-01
1.339668420445847108e+00,7.959124713111824789e-01
