0,0.19491,0.064584
0.1,0.20225,0.066697
0.2,0.20926,0.068898
0.3,0.21623,0.071381
0.4,0.22264,0.074114
0.5,0.22873,0.077163
0.6,0.23427,0.080012
0.7,0.23974,0.082751
0.8,0.24463,0.085052
0.9,0.24919,0.086871
1,0.25319,0.088277
1.1,0.25671,0.089325
1.2,0.25969,0.088985
1.3,0.26212,0.08904
1.4,0.26413,0.08946
1.5,0.26577,0.088984
1.6,0.26667,0.086517
1.7,0.2668,0.086767
1.8,0.26597,0.087174
1.9,0.26396,0.086836
2,0.26073,0.086665
2.1,0.2562,0.086298
2.2,0.25113,0.086899
2.3,0.2456,0.087686
2.4,0.23947,0.087687
2.5,0.23281,0.086506
2.6,0.22551,0.084549
2.7,0.21721,0.082544
2.8,0.20813,0.080498
2.9,0.19806,0.078913
3,0.18707,0.077028
3.1,0.17511,0.075351
3.2,0.16229,0.073578
3.3,0.14868,0.071646
3.4,0.1339,0.068077
3.5,0.11841,0.066812
3.6,0.10186,0.064593
3.7,0.084473,0.062608
3.8,0.066148,0.060561
3.9,0.046823,0.05839
4,0.026576,0.056115
4.1,0.10363,0.10117
4.2,0.096808,0.10361
4.3,0.090416,0.10634
4.4,0.087546,0.10928
4.5,0.082241,0.1127
4.6,0.077231,0.11608
4.7,0.072016,0.1194
4.8,0.067537,0.12321
4.9,0.062724,0.12672
5,0.058437,0.12955
5.1,0.054409,0.13337
5.2,0.052088,0.13765
5.3,0.048511,0.14213
5.4,0.045983,0.14669
5.5,0.044085,0.15036
5.6,0.041801,0.15284
5.7,0.038938,0.1544
5.8,0.036497,0.15619
5.9,0.034914,0.15842
6,0.033828,0.16138
6.1,0.032789,0.1643
6.2,0.031521,0.16713
6.3,0.030199,0.16989
6.4,0.029477,0.17299
6.5,0.028221,0.17534
6.6,0.026342,0.17683
6.7,0.024585,0.17835
6.8,0.023193,0.18042
6.9,0.022727,0.18086
7,0.021915,0.18351
7.1,0.02228,0.18714
7.2,0.021712,0.1897
7.3,0.021313,0.19189
7.4,0.020595,0.19391
7.5,0.020241,0.19465
7.6,0.019875,0.19547
7.7,0.019652,0.19568
7.8,0.019148,0.19547
7.9,0.018871,0.19511
8,0.018251,0.19429
8.1,0.0176,0.19444
8.2,0.016948,0.19377
8.3,0.016187,0.19453
8.4,0.015445,0.19344
8.5,0.014526,0.19192
8.6,0.012871,0.19272
8.7,0.011048,0.19582
8.8,0.0090514,0.19595
8.9,0.0070199,0.19662
9,0.0050917,0.19731
9.1,0.0036466,0.19824
9.2,0.0030315,0.19838
9.3,0.0020621,0.19797
9.4,0.0010865,0.19636
9.5,-0.00011659,0.19555
9.6,-0.0015488,0.19595
9.7,-0.0033007,0.19784
9.8,-0.0052411,0.19967
9.9,-0.0074868,0.20141
10,-0.010264,0.20186
10.1,-0.013175,0.20222
10.2,-0.016024,0.20176
10.3,-0.019049,0.20131
10.4,-0.021492,0.20202
10.5,-0.023667,0.20397
10.6,-0.025696,0.20397
10.7,-0.027236,0.20515
10.8,-0.028664,0.20609
10.9,-0.029841,0.20708
11,-0.030792,0.20838
11.1,-0.031302,0.21035
11.2,-0.032083,0.21139
11.3,-0.033296,0.21224
11.4,-0.034887,0.21183
11.5,-0.035402,0.21195
11.6,-0.035859,0.2118
11.7,-0.035629,0.21174
11.8,-0.034996,0.21123
11.9,-0.034356,0.20985
12,-0.031732,0.20983
12.1,-0.028313,0.21078
12.2,-0.024105,0.21095
12.3,-0.020155,0.21073
12.4,-0.016671,0.20906
12.5,-0.012607,0.20663
12.6,-0.0082023,0.20495
12.7,-0.0039025,0.20358
12.8,-0.00049595,0.2027
12.9,0.0021326,0.20229
13,0.004655,0.20149
13.1,0.008011,0.20023
13.2,0.012501,0.19894
13.3,0.017161,0.19749
13.4,0.02213,0.19581
13.5,0.026655,0.19349
13.6,0.030588,0.19121
13.7,0.034164,0.18889
13.8,0.037952,0.18558
13.9,0.042585,0.1816
14,0.047595,0.17971
14.1,0.053383,0.17561
14.2,0.05888,0.17056
14.3,0.063876,0.16517
14.4,0.067733,0.15906
14.5,0.071065,0.1522
14.6,0.074208,0.14604
14.7,0.077508,0.13903
14.8,0.081181,0.13239
14.9,0.085016,0.12581
15,0.088553,0.11901
15.1,0.092365,0.11297
15.2,0.095871,0.10577
15.3,0.097327,0.099038
15.4,0.10189,0.092868
15.5,0.10547,0.088117
15.6,0.10951,0.084014
15.7,0.11295,0.078666
15.8,0.11738,0.073535
15.9,0.12103,0.06891
16,0.12456,0.063523
16.1,0.12828,0.058846
16.2,0.13149,0.053931
16.3,0.13467,0.049937
16.4,0.1381,0.045696
16.5,0.13998,0.042051
16.6,0.14297,0.038439
16.7,0.14516,0.034724
16.8,0.14763,0.030268
16.9,0.14965,0.025729
17,0.15087,0.021249
17.1,0.15185,0.017701
17.2,0.15485,0.014967
17.3,0.15785,0.013347
17.4,0.16193,0.012019
17.5,0.16627,0.01018
17.6,0.1708,0.009442
17.7,0.17454,0.0093488
17.8,0.17711,0.0097466
17.9,0.17859,0.010465
18,0.17986,0.011328
18.1,0.18191,0.01167
18.2,0.18409,0.010652
18.3,0.18639,0.0093907
18.4,0.1882,0.0082293
18.5,0.1905,0.007903
18.6,0.19279,0.0074053
18.7,0.19561,0.007247
18.8,0.19698,0.0070775
18.9,0.19926,0.0073251
19,0.20175,0.0086804
19.1,0.203,0.0088413
19.2,0.20351,0.0081753
19.3,0.20318,0.0075537
19.4,0.2027,0.0070843
19.5,0.2026,0.008104
19.6,0.2019,0.0091868
19.7,0.20032,0.010011
19.8,0.19823,0.010605
19.9,0.19647,0.01119
20,0.19544,0.011539
20.1,0.19509,0.011917
20.2,0.19381,0.011659
20.3,0.19166,0.01148
20.4,0.18848,0.010439
20.5,0.18431,0.0095878
20.6,0.18142,0.010203
20.7,0.17876,0.010009
20.8,0.17634,0.0088973
20.9,0.1741,0.0077144
21,0.17067,0.0052678
21.1,0.16671,0.0052128
21.2,0.16189,0.0055771
21.3,0.15731,0.005698
21.4,0.15264,0.0053779
21.5,0.14884,0.0056504
21.6,0.14552,0.0067454
21.7,0.14219,0.0086502
21.8,0.13885,0.010675
21.9,0.13508,0.012761
22,0.13093,0.015514
22.1,0.12689,0.018531
22.2,0.1226,0.021687
22.3,0.11867,0.025646
22.4,0.11709,0.03119
22.5,0.1126,0.03537
22.6,0.10844,0.040652
22.7,0.10358,0.04626
22.8,0.099575,0.051592
22.9,0.094762,0.057487
23,0.089877,0.063492
23.1,0.084908,0.069224
23.2,0.080002,0.075311
23.3,0.075232,0.081052
23.4,0.070488,0.087129
23.5,0.06584,0.093027
23.6,0.062976,0.099895
23.7,0.059299,0.10649
23.8,0.056136,0.11276
23.9,0.052226,0.11853
24,0.049265,0.12472
24.1,0.047178,0.13058
24.2,0.04753,0.13727
24.3,0.046257,0.14316
24.4,0.045207,0.14838
24.5,0.043605,0.15359
24.6,0.042694,0.15981
