k1x,k1y,k1z,k2x,k2y,k2z,k4x,k4y,k4z
0.552130937576294,0.6281049847602844,0.8673412799835205,0.5164701342582703,0.517164409160614,1.0221226215362549,2.934262752532959,4.541439533233643,5.5957136154174805
0.552130937576294,0.6281049847602844,0.8673413991928101,0.5164701342582703,0.5171644687652588,1.0221227407455444,2.934262990951538,4.541439056396484,5.5957136154174805
0.552130937576294,0.6281049847602844,0.8673413991928101,0.5164701342582703,0.5171644687652588,1.0221227407455444,2.934262990951538,4.541439056396484,5.5957136154174805
0.49111273884773254,0.5291603803634644,0.7829605340957642,0.4272463023662567,0.4476281404495239,0.8074502348899841,2.7175495624542236,4.016317367553711,4.733266353607178
0.49111297726631165,0.5291608572006226,0.7829610109329224,0.42724671959877014,0.4476284086704254,0.8074508905410767,2.717550039291382,4.016318321228027,4.733269691467285
0.49111297726631165,0.5291608572006226,0.7829610109329224,0.42724671959877014,0.4476284086704254,0.8074508905410767,2.717550039291382,4.016318321228027,4.733269691467285
0.4911133050918579,0.5291612148284912,0.7829612493515015,0.4272470772266388,0.4476287066936493,0.8074517846107483,2.7175517082214355,4.016320705413818,4.733273506164551
0.4911133050918579,0.5291612148284912,0.7829612493515015,0.4272470772266388,0.4476287066936493,0.8074517846107483,2.7175517082214355,4.016320705413818,4.733273506164551
0.4913608431816101,0.5302569270133972,0.783471941947937,0.42809760570526123,0.44827595353126526,0.8097860217094421,2.7173519134521484,4.019978046417236,4.741196155548096
0.4913608431816101,0.5302569270133972,0.783471941947937,0.42809760570526123,0.44827595353126526,0.8097860217094421,2.7173519134521484,4.019978046417236,4.741196155548096
0.49917879700660706,0.5359273552894592,0.7845375537872314,0.4299163818359375,0.44911742210388184,0.8000884056091309,2.7577929496765137,4.053875923156738,4.749505996704102
0.49917906522750854,0.5359277129173279,0.7845379114151001,0.42991673946380615,0.4491176903247833,0.8000890612602234,2.75779390335083,4.0538763999938965,4.749508857727051
0.506036102771759,0.5328938364982605,0.7785406112670898,0.4240880310535431,0.44264015555381775,0.7683379054069519,2.8020005226135254,4.0516037940979,4.6820549964904785
0.5060363411903381,0.5328941941261292,0.7785409688949585,0.4240885078907013,0.4426404535770416,0.7683386206626892,2.802001953125,4.05160665512085,4.682058811187744
0.5060366988182068,0.5328946709632874,0.7785413265228271,0.42408889532089233,0.4426406919956207,0.7683396935462952,2.8020033836364746,4.051608562469482,4.682063579559326
0.5060368776321411,0.5328951478004456,0.7785418033599854,0.4240892827510834,0.44264107942581177,0.7683403491973877,2.80200457572937,4.051610946655273,4.682066917419434
0.5080232620239258,0.5239124894142151,0.7690454721450806,0.4151524305343628,0.43344801664352417,0.7356019616127014,2.821812629699707,4.01773738861084,4.58628511428833
0.5080235600471497,0.5239130258560181,0.7690458297729492,0.415152907371521,0.43344834446907043,0.7356030344963074,2.8218138217926025,4.017739295959473,4.586289405822754
0.5080238580703735,0.5239135026931763,0.7690463066101074,0.4151533246040344,0.43344876170158386,0.7356041073799133,2.821814775466919,4.017742156982422,4.586293697357178
0.5080241560935974,0.5239139795303345,0.7690467834472656,0.415153831243515,0.43344905972480774,0.7356051206588745,2.8218162059783936,4.0177459716796875,4.586297512054443
0.5080244541168213,0.5239144563674927,0.7690471410751343,0.41515418887138367,0.4334494173526764,0.73560631275177,2.82181715965271,4.01774787902832,4.586302757263184
0.5108271837234497,0.5211967825889587,0.7597497701644897,0.4103173315525055,0.4269486963748932,0.7112908363342285,2.8352012634277344,3.995149612426758,4.521485805511475
0.5108275413513184,0.5211974382400513,0.759750485420227,0.4103177785873413,0.4269492030143738,0.7112922668457031,2.835202693939209,3.9951534271240234,4.521491050720215
0.5108277797698975,0.5211979150772095,0.7597509622573853,0.4103183150291443,0.4269496202468872,0.7112935185432434,2.8352043628692627,3.9951562881469727,4.521496772766113
0.5108281373977661,0.521198570728302,0.7597516775131226,0.41031885147094727,0.4269501268863678,0.7112947702407837,2.8352057933807373,3.995159149169922,4.521501541137695
0.5143370032310486,0.519271731376648,0.756468653678894,0.4091334640979767,0.42480918765068054,0.6993672847747803,2.852865219116211,3.99680495262146,4.4962263107299805
0.514337420463562,0.5192723274230957,0.7564694881439209,0.4091341495513916,0.42480969429016113,0.699368953704834,2.8528668880462646,3.9968090057373047,4.496232509613037
0.5143378376960754,0.5192731022834778,0.7564700841903687,0.40913474559783936,0.4248103201389313,0.6993704438209534,2.8528685569763184,3.9968132972717285,4.496240139007568
0.5143382549285889,0.5192738771438599,0.7564710378646851,0.4091354310512543,0.4248109459877014,0.6993721723556519,2.852870225906372,3.9968175888061523,4.496246337890625
0.5143385529518127,0.5192745923995972,0.7564716339111328,0.4091361165046692,0.42481154203414917,0.6993737816810608,2.852871894836426,3.9968223571777344,4.496251583099365
0.5164703130722046,0.5194735527038574,0.7596098184585571,0.41075658798217773,0.4265596568584442,0.7028765082359314,2.8652594089508057,4.013939380645752,4.513312339782715
0.5221028327941895,0.5281835794448853,0.7669732570648193,0.4180311858654022,0.4328640103340149,0.7180184721946716,2.8879141807556152,4.062882423400879,4.582426071166992
0.5221032500267029,0.5281842350959778,0.7669740915298462,0.4180317521095276,0.43286457657814026,0.7180201411247253,2.88791561126709,4.062886714935303,4.582432270050049
0.5221035480499268,0.5281849503517151,0.766974687576294,0.4180324077606201,0.432865172624588,0.7180216312408447,2.8879168033599854,4.062890529632568,4.582437992095947
0.5221039056777954,0.5281856060028076,0.7669755220413208,0.41803306341171265,0.4328657388687134,0.7180232405662537,2.887918472290039,4.06289529800415,4.582444667816162
